iteration,train_loss,train_accuracy,train_precision_macro,weight_norm_l2,weight_update_norm_l2,test_loss,test_accuracy,test_precision_macro,test_precision_setosa,test_precision_versicolor,test_precision_virginica
57,0.204347,0.952381,0.954496,3.409348,0.028275,0.300756,0.844444,0.845238,1.0,0.785714,0.75
58,0.202787,0.961905,0.962872,3.434573,0.027997,0.29897,0.844444,0.845238,1.0,0.785714,0.75
59,0.201257,0.961905,0.962872,3.459573,0.027724,0.297212,0.866667,0.866667,1.0,0.8,0.8
60,0.199757,0.961905,0.962872,3.484354,0.027458,0.295482,0.866667,0.866667,1.0,0.8,0.8
61,0.198284,0.961905,0.962872,3.50892,0.027196,0.293779,0.866667,0.866667,1.0,0.8,0.8
62,0.196839,0.961905,0.962872,3.533276,0.02694,0.292102,0.866667,0.866667,1.0,0.8,0.8
63,0.195421,0.971429,0.971678,3.557425,0.026689,0.290451,0.866667,0.866667,1.0,0.8,0.8
64,0.194029,0.971429,0.971678,3.581372,0.026442,0.288826,0.866667,0.866667,1.0,0.8,0.8
65,0.192663,0.971429,0.971678,3.605121,0.026201,0.287225,0.866667,0.866667,1.0,0.8,0.8
66,0.191321,0.971429,0.971678,3.628675,0.025963,0.285648,0.866667,0.866667,1.0,0.8,0.8
67,0.190002,0.971429,0.971678,3.652039,0.025731,0.284095,0.866667,0.866667,1.0,0.8,0.8
68,0.188707,0.971429,0.971678,3.675215,0.025502,0.282566,0.866667,0.866667,1.0,0.8,0.8
69,0.187435,0.971429,0.971678,3.698207,0.025278,0.281059,0.866667,0.866667,1.0,0.8,0.8
70,0.186185,0.971429,0.971678,3.721018,0.025057,0.279574,0.866667,0.866667,1.0,0.8,0.8
71,0.184956,0.971429,0.971678,3.743652,0.024841,0.278111,0.866667,0.866667,1.0,0.8,0.8
72,0.183748,0.971429,0.971678,3.76611,0.024628,0.276669,0.866667,0.866667,1.0,0.8,0.8
73,0.18256,0.971429,0.971678,3.788397,0.024419,0.275248,0.866667,0.866667,1.0,0.8,0.8
74,0.181393,0.971429,0.971678,3.810516,0.024213,0.273847,0.866667,0.866667,1.0,0.8,0.8
75,0.180244,0.971429,0.971678,3.832467,0.024011,0.272467,0.866667,0.866667,1.0,0.8,0.8
76,0.179115,0.971429,0.971678,3.854256,0.023813,0.271106,0.866667,0.866667,1.0,0.8,0.8
77,0.178004,0.971429,0.971678,3.875883,0.023617,0.269764,0.866667,0.866667,1.0,0.8,0.8
78,0.176911,0.980952,0.980952,3.897352,0.023425,0.268441,0.866667,0.866667,1.0,0.8,0.8
79,0.175835,0.980952,0.980952,3.918665,0.023236,0.267137,0.866667,0.866667,1.0,0.8,0.8
80,0.174777,0.980952,0.980952,3.939824,0.02305,0.265851,0.866667,0.866667,1.0,0.8,0.8
81,0.173735,0.980952,0.980952,3.960831,0.022868,0.264582,0.866667,0.866667,1.0,0.8,0.8
82,0.17271,0.980952,0.980952,3.98169,0.022687,0.263331,0.866667,0.866667,1.0,0.8,0.8
83,0.1717,0.980952,0.980952,4.002401,0.02251,0.262097,0.866667,0.866667,1.0,0.8,0.8
84,0.170706,0.980952,0.980952,4.022968,0.022336,0.26088,0.866667,0.866667,1.0,0.8,0.8
85,0.169728,0.980952,0.980952,4.043391,0.022164,0.259679,0.866667,0.866667,1.0,0.8,0.8
86,0.168764,0.980952,0.980952,4.063674,0.021995,0.258494,0.866667,0.866667,1.0,0.8,0.8
87,0.167814,0.980952,0.980952,4.083818,0.021829,0.257325,0.866667,0.866667,1.0,0.8,0.8
88,0.166879,0.980952,0.980952,4.103825,0.021665,0.256172,0.866667,0.866667,1.0,0.8,0.8
89,0.165958,0.980952,0.980952,4.123697,0.021503,0.255034,0.866667,0.866667,1.0,0.8,0.8
90,0.16505,0.980952,0.980952,4.143436,0.021344,0.25391,0.866667,0.866667,1.0,0.8,0.8
91,0.164155,0.980952,0.980952,4.163043,0.021187,0.252802,0.866667,0.866667,1.0,0.8,0.8
92,0.163274,0.980952,0.980952,4.182521,0.021033,0.251707,0.866667,0.866667,1.0,0.8,0.8
93,0.162405,0.980952,0.980952,4.201871,0.020881,0.250627,0.866667,0.866667,1.0,0.8,0.8
94,0.161549,0.980952,0.980952,4.221094,0.020731,0.249561,0.866667,0.866667,1.0,0.8,0.8
95,0.160704,0.980952,0.980952,4.240193,0.020583,0.248508,0.866667,0.866667,1.0,0.8,0.8
96,0.159872,0.980952,0.980952,4.259169,0.020437,0.247468,0.866667,0.866667,1.0,0.8,0.8
97,0.159051,0.980952,0.980952,4.278023,0.020294,0.246442,0.866667,0.866667,1.0,0.8,0.8
98,0.158242,0.980952,0.980952,4.296757,0.020152,0.245429,0.866667,0.866667,1.0,0.8,0.8
99,0.157443,0.980952,0.980952,4.315373,0.020012,0.244428,0.866667,0.866667,1.0,0.8,0.8
100,0.156656,0.980952,0.980952,4.333872,0.019875,0.243439,0.866667,0.866667,1.0,0.8,0.8
