max_depth,train_accuracy,test_accuracy,train_precision_macro,test_precision_macro,real_depth,leaves,nodes,fit_seconds,peak_memory_kb
3,0.981,0.9778,0.981,0.9792,3,5,9,0.00268,28.4
5,1.0,0.9333,1.0,0.9444,5,8,15,0.002248,21.15
7,1.0,0.9333,1.0,0.9444,5,8,15,0.002213,21.15
10,1.0,0.9333,1.0,0.9444,5,8,15,0.002095,20.96
без ограничения,1.0,0.9333,1.0,0.9444,5,8,15,0.002308,21.11
