iteration,train_loss,train_accuracy,train_precision_macro,weight_norm_l2,weight_update_norm_l2,test_loss,test_accuracy,test_precision_macro,test_precision_setosa,test_precision_versicolor,test_precision_virginica
56,0.260108,0.885714,0.894089,0.798635,0.003234,0.314355,0.755556,0.759259,1.0,0.666667,0.611111
57,0.260008,0.885714,0.894089,0.799951,0.003177,0.314305,0.755556,0.759259,1.0,0.666667,0.611111
58,0.259911,0.885714,0.894089,0.801249,0.003122,0.314257,0.755556,0.759259,1.0,0.666667,0.611111
59,0.259818,0.885714,0.894089,0.802528,0.003069,0.314211,0.755556,0.759259,1.0,0.666667,0.611111
60,0.259728,0.885714,0.894089,0.803788,0.003017,0.314168,0.755556,0.759259,1.0,0.666667,0.611111
61,0.25964,0.885714,0.894089,0.805031,0.002968,0.314126,0.755556,0.759259,1.0,0.666667,0.611111
62,0.259556,0.885714,0.894089,0.806256,0.00292,0.314086,0.755556,0.759259,1.0,0.666667,0.611111
63,0.259474,0.885714,0.894089,0.807464,0.002874,0.314048,0.777778,0.786284,1.0,0.727273,0.631579
64,0.259394,0.885714,0.894089,0.808654,0.002829,0.314012,0.777778,0.786284,1.0,0.727273,0.631579
65,0.259317,0.885714,0.894089,0.809828,0.002786,0.313977,0.777778,0.786284,1.0,0.727273,0.631579
66,0.259242,0.885714,0.894089,0.810985,0.002745,0.313944,0.777778,0.786284,1.0,0.727273,0.631579
67,0.25917,0.885714,0.894089,0.812125,0.002705,0.313911,0.777778,0.786284,1.0,0.727273,0.631579
68,0.259099,0.885714,0.894089,0.813251,0.002666,0.313881,0.777778,0.786284,1.0,0.727273,0.631579
69,0.259031,0.885714,0.894089,0.81436,0.002629,0.313851,0.777778,0.786284,1.0,0.727273,0.631579
70,0.258964,0.885714,0.894089,0.815454,0.002593,0.313822,0.8,0.805556,1.0,0.75,0.666667
71,0.258899,0.885714,0.894089,0.816534,0.002558,0.313795,0.8,0.805556,1.0,0.75,0.666667
72,0.258835,0.885714,0.894089,0.817598,0.002525,0.313768,0.8,0.805556,1.0,0.75,0.666667
73,0.258774,0.885714,0.894089,0.818649,0.002493,0.313743,0.8,0.805556,1.0,0.75,0.666667
74,0.258713,0.885714,0.894089,0.819685,0.002461,0.313718,0.8,0.805556,1.0,0.75,0.666667
75,0.258655,0.885714,0.894089,0.820708,0.002431,0.313694,0.8,0.805556,1.0,0.75,0.666667
76,0.258597,0.885714,0.894089,0.821717,0.002402,0.313671,0.8,0.805556,1.0,0.75,0.666667
77,0.258541,0.885714,0.894089,0.822714,0.002374,0.313649,0.8,0.805556,1.0,0.75,0.666667
78,0.258486,0.885714,0.894089,0.823697,0.002347,0.313627,0.8,0.805556,1.0,0.75,0.666667
79,0.258433,0.885714,0.894089,0.824669,0.002321,0.313607,0.8,0.805556,1.0,0.75,0.666667
80,0.25838,0.885714,0.894089,0.825628,0.002296,0.313586,0.8,0.805556,1.0,0.75,0.666667
81,0.258329,0.885714,0.894089,0.826575,0.002271,0.313566,0.8,0.805556,1.0,0.75,0.666667
82,0.258279,0.885714,0.894089,0.82751,0.002248,0.313547,0.8,0.805556,1.0,0.75,0.666667
83,0.25823,0.885714,0.894089,0.828435,0.002225,0.313529,0.8,0.805556,1.0,0.75,0.666667
84,0.258181,0.885714,0.894089,0.829348,0.002203,0.313511,0.8,0.805556,1.0,0.75,0.666667
85,0.258134,0.885714,0.894089,0.830251,0.002182,0.313493,0.8,0.805556,1.0,0.75,0.666667
86,0.258087,0.885714,0.894089,0.831143,0.002161,0.313476,0.8,0.805556,1.0,0.75,0.666667
87,0.258042,0.885714,0.894089,0.832025,0.002141,0.313459,0.8,0.805556,1.0,0.75,0.666667
88,0.257997,0.885714,0.894089,0.832897,0.002122,0.313442,0.8,0.805556,1.0,0.75,0.666667
89,0.257953,0.885714,0.894089,0.83376,0.002103,0.313426,0.8,0.805556,1.0,0.75,0.666667
90,0.25791,0.885714,0.894089,0.834613,0.002085,0.313411,0.8,0.805556,1.0,0.75,0.666667
91,0.257867,0.885714,0.894089,0.835456,0.002068,0.313395,0.8,0.805556,1.0,0.75,0.666667
92,0.257825,0.885714,0.894089,0.836291,0.002051,0.31338,0.8,0.805556,1.0,0.75,0.666667
93,0.257784,0.885714,0.894089,0.837118,0.002034,0.313366,0.8,0.805556,1.0,0.75,0.666667
94,0.257743,0.885714,0.894089,0.837935,0.002018,0.313351,0.8,0.805556,1.0,0.75,0.666667
95,0.257703,0.885714,0.894089,0.838745,0.002003,0.313337,0.8,0.805556,1.0,0.75,0.666667
96,0.257664,0.885714,0.894089,0.839546,0.001988,0.313324,0.8,0.805556,1.0,0.75,0.666667
97,0.257625,0.885714,0.894089,0.84034,0.001973,0.31331,0.8,0.805556,1.0,0.75,0.666667
98,0.257587,0.885714,0.894089,0.841126,0.001959,0.313297,0.8,0.805556,1.0,0.75,0.666667
99,0.257549,0.885714,0.894089,0.841905,0.001945,0.313284,0.8,0.805556,1.0,0.75,0.666667
100,0.257512,0.885714,0.894089,0.842677,0.001932,0.313271,0.8,0.805556,1.0,0.75,0.666667
