max_depth,train_accuracy,test_accuracy,train_precision_macro,test_precision_macro,real_depth,leaves,nodes,fit_seconds,peak_memory_kb
3,0.9919,0.963,0.9935,0.971,3,7,13,0.002415,26.52
5,1.0,0.963,1.0,0.971,4,8,15,0.002257,26.42
7,1.0,0.963,1.0,0.971,4,8,15,0.002361,26.55
10,1.0,0.963,1.0,0.971,4,8,15,0.003135,26.33
без ограничения,1.0,0.963,1.0,0.971,4,8,15,0.00275,26.63
