feature,eta_squared,abs_corr_with_label,min,mean,max
flipper_length_mm,0.7782,0.8543,172.0,200.915,231.0
culmen_length_mm,0.7078,0.7314,32.1,43.922,59.6
culmen_depth_mm,0.6798,0.7441,13.1,17.151,21.5
body_mass_g,0.6697,0.7505,2700.0,4201.754,6300.0
