,setosa,versicolor,virginica
sepal_length,-1.0676,0.5046,0.5632
sepal_width,0.9926,-0.7233,-0.2925
petal_length,-1.6045,0.0922,1.5103
petal_width,-1.505,-0.6871,2.2001
bias,-0.4992,1.4096,-0.8937
