iteration,train_loss,train_accuracy,train_precision_macro,weight_norm_l2,weight_update_norm_l2,test_loss,test_accuracy,test_precision_macro,test_precision_Adelie,test_precision_Chinstrap,test_precision_Gentoo
56,0.089544,0.979079,0.984985,3.372844,0.020736,0.091958,0.990291,0.984848,1.0,0.954545,1.0
57,0.088713,0.979079,0.984985,3.391649,0.020446,0.090913,0.990291,0.984848,1.0,0.954545,1.0
58,0.087906,0.979079,0.984985,3.410198,0.020165,0.089897,0.990291,0.984848,1.0,0.954545,1.0
59,0.087119,0.979079,0.984985,3.428499,0.019892,0.088909,0.990291,0.984848,1.0,0.954545,1.0
60,0.086354,0.979079,0.984985,3.44656,0.019628,0.087949,0.990291,0.984848,1.0,0.954545,1.0
61,0.085608,0.979079,0.984985,3.464388,0.019372,0.087014,0.990291,0.984848,1.0,0.954545,1.0
62,0.084882,0.979079,0.984985,3.48199,0.019123,0.086104,0.990291,0.984848,1.0,0.954545,1.0
63,0.084173,0.979079,0.984985,3.499372,0.018881,0.085218,0.990291,0.984848,1.0,0.954545,1.0
64,0.083482,0.979079,0.984985,3.516542,0.018646,0.084355,0.990291,0.984848,1.0,0.954545,1.0
65,0.082808,0.983264,0.987879,3.533504,0.018417,0.083514,0.990291,0.984848,1.0,0.954545,1.0
66,0.08215,0.983264,0.987879,3.550266,0.018195,0.082694,0.990291,0.984848,1.0,0.954545,1.0
67,0.081507,0.983264,0.987879,3.566831,0.017978,0.081895,0.990291,0.984848,1.0,0.954545,1.0
68,0.080879,0.983264,0.987879,3.583207,0.017767,0.081115,0.990291,0.984848,1.0,0.954545,1.0
69,0.080266,0.983264,0.987879,3.599397,0.017562,0.080354,0.990291,0.984848,1.0,0.954545,1.0
70,0.079666,0.983264,0.987879,3.615406,0.017362,0.079612,0.990291,0.984848,1.0,0.954545,1.0
71,0.07908,0.983264,0.987879,3.63124,0.017167,0.078887,0.990291,0.984848,1.0,0.954545,1.0
72,0.078507,0.983264,0.987879,3.646903,0.016977,0.078179,0.990291,0.984848,1.0,0.954545,1.0
73,0.077946,0.983264,0.987879,3.662398,0.016792,0.077488,0.990291,0.984848,1.0,0.954545,1.0
74,0.077397,0.983264,0.987879,3.677731,0.016611,0.076812,0.990291,0.984848,1.0,0.954545,1.0
75,0.07686,0.983264,0.987879,3.692905,0.016434,0.076152,0.990291,0.984848,1.0,0.954545,1.0
76,0.076334,0.983264,0.987879,3.707923,0.016262,0.075507,0.990291,0.984848,1.0,0.954545,1.0
77,0.075818,0.983264,0.987879,3.722791,0.016094,0.074875,0.990291,0.984848,1.0,0.954545,1.0
78,0.075313,0.983264,0.987879,3.73751,0.015929,0.074258,0.990291,0.984848,1.0,0.954545,1.0
79,0.074819,0.983264,0.987879,3.752085,0.015768,0.073654,0.990291,0.984848,1.0,0.954545,1.0
80,0.074333,0.983264,0.987879,3.766519,0.015611,0.073063,0.990291,0.984848,1.0,0.954545,1.0
81,0.073858,0.983264,0.987879,3.780815,0.015458,0.072484,0.990291,0.984848,1.0,0.954545,1.0
82,0.073392,0.983264,0.987879,3.794976,0.015307,0.071918,0.990291,0.984848,1.0,0.954545,1.0
83,0.072934,0.983264,0.987879,3.809005,0.01516,0.071363,0.990291,0.984848,1.0,0.954545,1.0
84,0.072485,0.983264,0.987879,3.822904,0.015016,0.07082,0.990291,0.984848,1.0,0.954545,1.0
85,0.072045,0.983264,0.987879,3.836678,0.014875,0.070288,0.990291,0.984848,1.0,0.954545,1.0
86,0.071612,0.983264,0.987879,3.850328,0.014737,0.069766,0.990291,0.984848,1.0,0.954545,1.0
87,0.071188,0.983264,0.987879,3.863856,0.014602,0.069255,0.990291,0.984848,1.0,0.954545,1.0
88,0.070771,0.983264,0.987879,3.877266,0.01447,0.068754,0.990291,0.984848,1.0,0.954545,1.0
89,0.070362,0.983264,0.987879,3.89056,0.01434,0.068263,0.990291,0.984848,1.0,0.954545,1.0
90,0.069959,0.983264,0.987879,3.903739,0.014213,0.067781,0.990291,0.984848,1.0,0.954545,1.0
91,0.069564,0.983264,0.987879,3.916808,0.014088,0.067308,0.990291,0.984848,1.0,0.954545,1.0
92,0.069176,0.983264,0.987879,3.929766,0.013966,0.066844,0.990291,0.984848,1.0,0.954545,1.0
93,0.068794,0.983264,0.987879,3.942618,0.013846,0.066389,0.990291,0.984848,1.0,0.954545,1.0
94,0.068418,0.983264,0.987879,3.955364,0.013729,0.065943,0.990291,0.984848,1.0,0.954545,1.0
95,0.068049,0.983264,0.987879,3.968006,0.013613,0.065505,0.990291,0.984848,1.0,0.954545,1.0
96,0.067686,0.983264,0.987879,3.980548,0.0135,0.065074,0.990291,0.984848,1.0,0.954545,1.0
97,0.067329,0.983264,0.987879,3.99299,0.013389,0.064652,0.990291,0.984848,1.0,0.954545,1.0
98,0.066978,0.983264,0.987879,4.005334,0.01328,0.064237,0.990291,0.984848,1.0,0.954545,1.0
99,0.066632,0.983264,0.987879,4.017583,0.013173,0.063829,0.990291,0.984848,1.0,0.954545,1.0
100,0.066292,0.983264,0.987879,4.029737,0.013068,0.063429,0.990291,0.984848,1.0,0.954545,1.0
