max_depth,train_accuracy,test_accuracy,train_precision_macro,test_precision_macro,real_depth,leaves,nodes,fit_seconds,peak_memory_kb
3,0.9665,0.9806,0.9592,0.9767,3,7,13,0.002789,27.92
5,1.0,0.9903,1.0,0.9848,5,12,23,0.002533,27.83
7,1.0,0.9903,1.0,0.9848,5,12,23,0.002262,27.83
10,1.0,0.9903,1.0,0.9848,5,12,23,0.00227,27.76
без ограничения,1.0,0.9903,1.0,0.9848,5,12,23,0.002527,27.76
