,Adelie,Chinstrap,Gentoo
culmen_length_mm,-0.3828,0.3882,-0.0052
culmen_depth_mm,0.1792,0.0732,-0.2526
flipper_length_mm,-0.0961,-0.0364,0.1318
body_mass_g,0.1183,-0.2728,0.155
bias,0.4435,0.1967,0.3598
