iteration,train_loss,train_accuracy,train_precision_macro,weight_norm_l2,weight_update_norm_l2,test_loss,test_accuracy,test_precision_macro,test_precision_Adelie,test_precision_Chinstrap,test_precision_Gentoo
50,0.100397,0.979079,0.984985,0.939981,0.001423,0.106058,0.990291,0.992754,0.978261,1.0,1.0
51,0.10038,0.979079,0.984985,0.94065,0.001346,0.106028,0.990291,0.992754,0.978261,1.0,1.0
52,0.100364,0.979079,0.984985,0.941276,0.001275,0.106001,0.990291,0.992754,0.978261,1.0,1.0
53,0.10035,0.979079,0.984985,0.941864,0.001209,0.105978,0.990291,0.992754,0.978261,1.0,1.0
54,0.100337,0.979079,0.984985,0.942414,0.001147,0.105958,0.990291,0.992754,0.978261,1.0,1.0
55,0.100325,0.979079,0.984985,0.942931,0.00109,0.105941,0.990291,0.992754,0.978261,1.0,1.0
56,0.100315,0.979079,0.984985,0.943415,0.001036,0.105927,0.990291,0.992754,0.978261,1.0,1.0
57,0.100305,0.979079,0.984985,0.94387,0.000986,0.105915,0.990291,0.992754,0.978261,1.0,1.0
58,0.100297,0.979079,0.984985,0.944297,0.00094,0.105905,0.990291,0.992754,0.978261,1.0,1.0
59,0.100289,0.979079,0.984985,0.944697,0.000897,0.105897,0.990291,0.992754,0.978261,1.0,1.0
60,0.100282,0.979079,0.984985,0.945073,0.000856,0.10589,0.990291,0.992754,0.978261,1.0,1.0
61,0.100275,0.979079,0.984985,0.945427,0.000818,0.105886,0.990291,0.992754,0.978261,1.0,1.0
62,0.100269,0.979079,0.984985,0.945759,0.000783,0.105882,0.990291,0.992754,0.978261,1.0,1.0
63,0.100264,0.979079,0.984985,0.946071,0.00075,0.10588,0.990291,0.992754,0.978261,1.0,1.0
64,0.100259,0.979079,0.984985,0.946364,0.000719,0.105879,0.990291,0.992754,0.978261,1.0,1.0
65,0.100254,0.979079,0.984985,0.94664,0.00069,0.105879,0.990291,0.992754,0.978261,1.0,1.0
66,0.10025,0.979079,0.984985,0.946899,0.000663,0.10588,0.990291,0.992754,0.978261,1.0,1.0
67,0.100246,0.979079,0.984985,0.947144,0.000638,0.105881,0.990291,0.992754,0.978261,1.0,1.0
68,0.100242,0.979079,0.984985,0.947373,0.000614,0.105883,0.990291,0.992754,0.978261,1.0,1.0
69,0.100238,0.979079,0.984985,0.94759,0.000591,0.105886,0.990291,0.992754,0.978261,1.0,1.0
